1
1578 29566
666 709 60
667 1113 6
668 1499 12
669 211 66
670 1250 9
671 535 51
672 77 9
673 844 39
674 182 51
675 571 60
676 1379 36
677 390 12
678 484 45
679 1421 30
680 194 15
681 1043 6
682 114 69
683 224 24
684 312 72
685 1424 33
686 292 69
687 62 3
688 1498 78
689 438 45
690 25 81
691 1465 72
692 547 36
693 63 3
694 1389 15
695 344 66
696 322 36
697 395 18
698 37 66
699 1059 60
700 160 51
701 485 78
702 680 39
703 351 30
704 53 39
705 838 39
706 406 33
707 1038 36
708 1020 48
709 1215 15
710 625 54
711 253 72
712 19 24
713 77 51
714 1384 45
715 1324 24
716 324 69
717 973 75
718 283 18
719 1226 81
720 1118 3
721 1535 63
722 516 66
723 349 51
724 1196 33
725 1519 81
726 300 69
727 912 21
728 1157 24
729 551 63
730 640 6
731 660 81
732 1171 45
733 1107 6
734 196 78
735 1497 6
736 860 81
737 1397 66
738 1135 12
739 988 69
740 83 33
741 532 78
742 1429 33
743 483 45
744 237 18
745 670 72
746 232 33
747 1027 24
748 1414 69
749 825 27
750 115 69
751 811 18
752 958 48
753 418 42
754 1396 42
755 679 63
756 418 63
757 521 24
758 1461 66
759 613 51
760 788 81
761 272 12
762 843 69
763 684 3
764 1362 54
765 1220 6
766 771 66
767 1440 30
768 1019 69
769 311 3
770 1059 18
771 1209 48
772 1287 30
773 1517 69
774 1353 33
775 1036 60
776 1279 15
777 1395 36
778 1203 27
779 175 24
780 627 33
781 678 6
782 189 18
783 240 51
784 1362 63
785 757 60
786 1395 78
787 159 6
788 802 57
789 873 78
790 1003 81
791 132 51
792 1095 72
793 1023 72
794 839 18
795 264 48
796 1005 6
797 1524 51
798 587 30
799 1089 66
800 234 75
801 474 63
802 527 45
803 548 78
804 809 54
805 1188 66
806 1310 78
807 446 33
808 362 84
809 429 15
810 585 81
811 283 84
812 1574 69
813 762 45
814 136 54
815 156 9
816 1564 54
817 579 12
818 907 6
819 324 42
820 149 78
821 940 30
822 501 72
823 1342 66
824 1225 63
825 1021 75
826 1489 24
827 61 45
828 1050 3
829 574 57
830 1132 84
831 107 60
832 1141 75
833 1226 15
834 1217 3
835 784 30
836 576 24
837 44 15
838 1166 54
839 485 57
840 594 78
841 290 54
842 382 48
843 1571 21
844 338 75
845 945 27
846 46 33
847 126 69
848 606 72
849 367 30
850 999 60
851 1108 57
852 86 48
853 610 48
854 1304 24
855 1012 6
856 1032 84
857 1250 27
858 1548 33
859 1064 33
860 1118 18
861 1237 36
862 1035 72
863 1123 36
864 767 63
865 1511 81
866 1418 60
867 1041 72
868 545 6
869 661 72
870 736 30
871 615 75
872 290 6
873 1385 69
874 798 6
875 1468 6
876 875 12
877 189 18
878 31 30
879 1381 15
880 156 63
881 718 78
882 39 57
883 1369 24
884 474 39
885 755 48
886 1348 72
887 1185 54
888 1213 36
889 238 75
890 779 51
891 1087 24
892 269 45
893 659 15
894 963 12
895 54 36
896 310 15
897 222 39
898 471 39
899 732 48
900 583 15
901 1138 6
902 1154 3
903 412 15
904 51 42
905 227 36
906 232 6
907 335 72
908 55 84
909 1039 24
910 492 33
911 19 51
912 1282 61
913 1464 69
914 362 9
915 390 27
916 263 69
917 1263 42
918 403 27
919 350 63
920 660 54
921 1199 33
922 614 75
923 1012 66
924 184 75
925 1226 3
926 1187 18
927 457 24
928 1053 3
929 559 33
930 1373 12
931 419 12
932 1264 30
933 582 69
934 345 42
935 125 72
936 1321 12
937 1309 9
938 1084 24
939 197 36
940 1183 15
941 1218 24
942 1230 21
943 1080 84
944 94 42
945 1142 21
946 783 54
947 1285 72
948 412 27
949 1116 24
950 831 48
951 239 63
952 1061 81
953 601 21
954 1156 51
955 1126 75
956 404 45
957 565 72
958 1072 39
959 1237 6
960 1065 21
961 594 6
962 1094 9
963 273 18
964 1391 48
965 901 51
966 65 33
967 1390 51
968 1572 12
969 1003 51
970 1136 3
971 905 15
972 682 6
973 871 84
974 416 42
975 803 72
976 711 6
977 65 12
978 484 27
979 1311 27
980 969 9
981 513 33
982 1134 69
983 920 36
984 40 6
985 1007 63
986 1126 54
987 1524 3
988 550 33
989 1232 66
990 102 6
991 903 60
992 191 54
993 1190 75
994 605 36
995 1507 24
996 746 57
997 1173 66
998 435 78
999 30 36
1000 18 69
1001 27 51
1002 898 45
1003 1185 15
1004 725 78
1005 1360 45
1006 1490 33
1007 929 36
1008 171 45
1009 69 33
1010 816 75
1011 113 9
1012 216 69
1013 496 72
1014 997 84
1015 486 9
1016 213 42
1017 1115 6
1018 632 39
1019 1254 36
1020 1261 39
1021 825 30
1022 489 15
1023 250 9
1024 1548 60
1025 419 54
1026 1132 69
1027 376 6
1028 299 81
1029 7 18
1030 704 81
1031 188 48
1032 588 9
1033 248 72
1034 659 72
1035 130 45
1036 1204 78
1037 153 33
1038 1525 15
1039 204 66
1040 193 18
1041 1496 84
1042 820 42
1043 1371 69
1044 912 69
1045 302 57
1046 20 6
1047 1065 9
1048 783 3
1049 811 30
1050 931 81
1051 722 48
1052 720 78
1053 350 42
1054 755 6
1055 1115 9
1056 273 69
1057 864 51
1058 1416 6
1059 260 6
1060 964 30
1061 1218 54
1062 1474 57
1063 874 66
1064 499 75
1065 13 3
1066 1410 9
1067 1004 27
1068 376 30
1069 1459 54
1070 662 72
1071 850 51
1072 385 57
1073 964 78
1074 550 84
1075 678 3
1076 654 63
1077 45 6
1078 565 12
1079 1231 54
1080 727 27
1081 1130 63
1082 1480 48
1083 244 51
1084 76 54
1085 82 78
1086 299 24
1087 207 75
1088 71 39
1089 456 45
1090 1415 33
1091 91 24
1092 412 39
1093 874 33
1094 1343 75
1095 56 18
1096 1280 42
1097 125 21
1098 112 66
1099 529 72
1100 810 15
1101 856 18
1102 1469 9
1103 685 54
1104 1028 81
1105 1016 70
1106 4 6
1107 582 27
1108 175 69
1109 852 69
1110 1134 18
1111 1052 57
1112 1478 39
1113 408 81
1114 1199 6
1115 1324 6
1116 1462 45
1117 70 60
1118 1418 51
1119 1530 84
1120 199 51
1121 199 30
1122 691 6
1123 742 12
1124 315 36
1125 1556 24
1126 772 63
1127 383 81
1128 1076 75
1129 957 75
1130 1565 18
1131 113 6
1132 1521 3
1133 945 78
1134 1410 75
1135 1110 27
1136 938 27
1137 636 78
1138 1296 42
1139 1102 33
1140 230 63
1141 607 42
1142 3 12
1143 200 27
1144 745 36
1145 1570 72
1146 1435 66
1147 1261 72
1148 775 6
1149 1376 60
1150 42 72
1151 73 78
1152 752 12
1153 531 81
1154 300 63
1155 217 60
1156 404 27
1157 1358 69
1158 249 3
1159 1261 6
1160 488 6
1161 1082 72
1162 1010 42
1163 564 3
1164 64 48
1165 1113 57
1166 546 66
1167 1381 6
1168 1358 33
1169 1269 84
1170 168 54
1171 1011 36
1172 454 72
1173 777 78
1174 1028 24
1175 803 9
1176 748 75
1177 1514 42
1178 287 6
1179 801 36
1180 1450 6
1181 1372 69
1182 669 9
1183 802 54
1184 1128 63
1185 1528 81
1186 732 51
1187 487 30
1188 1423 78
1189 971 54
1190 376 42
1191 1190 75
1192 1300 18
1193 596 57
1194 1158 6
1195 579 36
1196 808 42
1197 181 21
1198 427 66
1199 52 21
1200 453 27
1201 1112 33
1202 1411 18
1203 775 24
1204 1291 45
1205 514 42
1206 1528 39
1207 1265 3
1208 1086 81
1209 1445 51
1210 540 39
1211 1329 24
1212 1104 27
1213 22 54
1214 16 36
1215 902 21
1216 635 6
1217 611 42
1218 536 36
1219 1412 3
1220 562 39
1221 379 30
1222 1500 12
1223 708 33
1224 474 60
1225 98 6
1226 97 42
1227 72 60
1228 40 66
1229 1146 27
1230 803 18
1231 18 48
1232 734 51
1233 1435 3
1234 116 81
1235 1397 39
1236 146 36
1237 1086 84
1238 481 60
1239 1513 9
1240 1472 60
1241 627 18
1242 774 69
1243 1361 48
1244 801 42
1245 363 42
1246 385 15
1247 1394 40
1248 245 36
1249 392 30
1250 343 12
1251 741 15
1252 285 45
1253 1094 30
1254 1065 69
1255 1332 9
1256 722 3
1257 165 18
1258 1189 39
1259 1175 6
1260 1342 54
1261 1109 3
1262 377 51
1263 931 72
1264 677 24
1265 1567 3
1266 797 60
1267 496 42
1268 932 72
1269 1057 51
1270 871 72
1271 743 54
1272 854 42
1273 270 27
1274 927 60
1275 115 33
1276 529 15
1277 639 51
1278 1170 60
1279 731 39
1280 58 24
1281 833 66
1282 140 45
1283 700 15
1284 182 24
1285 870 63
1286 686 3
1287 719 69
1288 1406 66
1289 298 42
1290 1084 63
1291 163 30
1292 996 27
1293 1007 24
1294 959 63
1295 468 9
1296 1384 84
1297 859 33
1298 882 60
1299 343 66
1300 126 15
1301 733 60
1302 408 27
1303 1389 78
1304 1452 66
1305 255 42
1306 847 63
1307 1155 45
1308 1041 15
1309 112 48
1310 553 42
1311 551 18
1312 1046 51
1313 567 33
1314 77 51
1315 1375 75
1316 997 60
1317 398 66
1318 936 12
1319 561 9
1320 812 66
1321 593 63
1322 773 81
1323 470 6
1324 388 84
1325 1410 69
1326 941 18
1327 511 27
1328 233 72
1329 870 75
1330 935 63
1331 1545 81
1332 1160 15
1333 879 9
1334 837 75
1335 276 72
1336 528 33
1337 383 6
1338 1570 75
1339 1299 6
1340 435 15
1341 1112 42
1342 1261 21
1343 1061 24
1344 632 24
1345 513 48
1346 282 78
1347 1217 39
1348 1470 63
1349 2 3
1350 612 69
1351 1051 51
1352 979 3
1353 721 39
1354 1026 51
1355 878 12
1356 197 81
1357 748 30
1358 73 33
1359 627 33
1360 1003 30
1361 470 60
1362 478 33
1363 1325 60
1364 30 72
1365 81 6
1366 179 45
1367 183 81
1368 1230 69
1369 1463 63
1370 578 84
1371 642 75
1372 1184 75
1373 190 9
1374 854 51
1375 1528 81
1376 1056 75
1377 1058 3
1378 147 78
1379 341 66
1380 625 21
1381 684 39
1382 938 51
1383 412 18
1384 1121 6
1385 127 69
1386 944 36
1387 1182 39
1388 1051 21
1389 519 9
1390 216 9
1391 638 30
1392 902 69
1393 737 66
1394 182 75
1395 771 51
1396 989 1
1397 960 54
1398 1447 36
1399 301 6
1400 1097 57
1401 959 30
1402 1273 63
1403 1390 75
1404 288 81
1405 21 18
1406 1578 81
1407 99 66
1408 669 42
1409 920 6
1410 247 12
1411 1114 27
1412 1181 9
1413 538 33
1414 1469 60
1415 557 18
1416 770 39
1417 372 33
1418 165 21
1419 475 63
1420 1399 30
1421 1519 45
1422 22 21
1423 1209 72
1424 240 30
1425 1022 15
1426 1007 75
1427 94 69
1428 1413 18
1429 1208 6
1430 913 33
1431 1009 39
1432 804 45
1433 1400 54
1434 1448 69
1435 961 12
1436 1488 6
1437 1271 72
1438 1445 33
1439 161 12
1440 443 75
1441 1074 9
1442 1106 48
1443 804 27
1444 894 60
1445 255 27
1446 1369 9
1447 20 48
1448 1370 33
1449 1552 54
1450 1123 24
1451 612 57
1452 1558 1
1453 684 75
1454 1041 30
1455 1234 84
1456 1273 51
1457 1135 63
1458 19 42
1459 863 15
1460 677 39
1461 1075 21
1462 1109 57
1463 1051 33
1464 86 63
1465 867 3
1466 419 57
1467 740 72
1468 1473 6
1469 1227 75
1470 500 12
1471 138 21
1472 1129 3
1473 1370 78
1474 1069 9
1475 850 78
1476 1181 48
1477 1568 21
1478 1325 9
1479 573 6
1480 53 9
1481 1448 57
1482 1255 39
1483 64 21
1484 769 75
1485 1176 60
1486 1444 33
1487 110 60
1488 225 69
1489 116 45
1490 204 45
1491 1569 18
1492 583 54
1493 420 33
1494 367 24
1495 495 27
1496 376 30
1497 1442 84
1498 235 24
1499 992 42
1500 1137 54
1501 1517 72
1502 1215 36
1503 152 84
1504 1469 45
1505 1063 69
1506 349 63
1507 1367 6
1508 619 75
1509 742 48
1510 1118 6
1511 269 18
1512 1110 63
1513 127 78
1514 765 42
1515 997 15
1516 1545 6
1517 859 15
1518 1513 18
1519 817 12
1520 1548 3
1521 622 57
1522 518 84
1523 1381 57
1524 817 81
1525 455 66
1526 121 84
1527 422 72
1528 1132 36
1529 725 42
1530 970 63
1531 1246 30
1532 468 45
1533 45 3
1534 1065 63
1535 1134 42
1536 154 12
1537 591 21
1538 760 75
1539 1564 75
1540 1106 15
1541 778 81
1542 167 78
1543 93 54
1544 405 21
1545 758 33
1546 1210 6
1547 614 30
1548 450 54
1549 699 57
1550 1309 24
1551 862 54
1552 679 78
1553 736 63
1554 1270 45
1555 1161 60
1556 334 6
1557 417 18
1558 141 75
1559 1381 48
1560 1076 6
1561 317 75
1562 927 33
1563 295 39
1564 1317 21
1565 499 6
1566 1560 15
1567 495 24
1568 46 3
1569 1439 60
1570 1247 15
1571 288 42
1572 568 84
1573 788 75
1574 653 48
1575 464 78
1576 1471 57
1577 1518 54
1578 734 18
1436 418 9
1064 1407 52
487 1276 46
894 180 67
719 442 9
1075 1205 77
119 1034 13
92 870 4
780 12 27
228 1287 26
969 442 29
1058 67 29
1042 736 63
1064 1260 14
358 931 71
1264 325 41
68 673 21
283 586 68
382 1456 9
415 619 25
132 847 29
1023 247 16
452 231 34
1100 425 3
1421 419 45
259 789 65
385 1226 66
1357 472 30
1510 1479 15
1562 465 41
339 1373 63
1236 302 75
1257 437 44
1569 980 29
1304 1271 74
47 321 57
541 379 4
283 1077 1
484 1040 17
984 442 26
725 700 53
1578 304 43
1396 1404 62
152 393 25
260 342 37
888 1544 31
860 727 2
1557 953 74
809 1349 65
390 405 3
1144 342 52
393 73 71
603 200 29
1088 546 64
1416 1041 36
481 664 38
968 337 22
232 1530 29
395 1133 28
363 1505 80
1026 423 26
480 530 52
262 882 11
388 1166 14
868 861 61
391 61 24
169 452 9
1546 1227 18
602 639 25
1095 1419 63
1290 1291 16
323 845 62
1383 14 27
955 410 81
764 1482 20
520 157 60
1487 1267 67
1293 1352 58
390 1377 13
306 746 44
397 975 27
1441 664 47
1199 1360 45
777 122 9
843 1315 3
713 743 6
1121 92 26
910 84 24
765 603 55
1320 1522 29
733 581 27
180 1558 3
193 918 20
472 559 7
130 1249 48
1523 623 52
1089 457 3
397 230 36
1002 215 26
11 1279 69
527 279 65
43 1264 38
1242 310 44
552 1566 65
224 1451 23
544 486 57
1017 1105 12
1410 668 76
1082 284 4
83 1249 47
1560 1571 15
1125 97 44
535 455 23
1017 1333 21
1145 1226 79
1567 80 14
1316 1114 40
380 247 74
3 204 51
406 1013 38
1210 1232 39
279 832 31
127 311 55
233 310 2
895 165 25
896 650 65
191 809 69
1435 447 57
1265 478 81
346 1402 64
128 1414 35
490 107 17
86 543 59
645 538 57
439 1206 77
511 1147 68
1082 412 17
952 1071 20
1370 1569 42
965 116 38
1191 546 41
1522 50 58
675 1004 74
341 796 63
869 492 81
966 1480 72
855 1322 4
661 913 10
184 1150 3
752 45 64
908 718 82
948 1336 66
1078 634 39
182 335 20
1077 624 42
652 297 65
720 472 1
1208 283 10
785 1380 27
407 1001 26
1306 1116 70
909 894 13
1568 129 40
1275 1048 43
487 334 64
1309 1425 38
651 1301 77
193 1417 11
83 517 15
543 1209 54
710 1145 20
1108 199 75
1141 358 81
1412 232 71
1445 1562 5
891 1259 18
142 223 20
1327 762 36
1305 321 31
1399 1056 52
1350 217 61
152 1118 15
1566 1164 71
192 335 21
965 1284 73
1277 1500 20
1341 1026 45
656 970 43
1556 878 48
1534 822 19
488 1335 69
1223 673 30
173 278 57
1142 334 51
289 439 13
1280 1026 72
784 368 40
624 890 74
619 924 12
919 656 81
77 618 11
886 1466 26
126 856 80
1078 1415 78
312 766 58
1350 637 30
590 952 26
41 536 16
931 338 6
173 1568 8
225 1392 19
1390 1417 78
404 1570 49
1544 1152 59
1572 1091 54
825 1502 45
1423 1098 1
1283 492 67
1396 1409 58
612 240 81
801 209 11
436 948 65
1320 334 53
211 1517 57
1326 1437 37
1136 224 9
1115 1309 48
964 1401 42
453 1561 66
84 804 23
755 112 14
814 805 75
352 819 64
1307 92 26
268 279 82
505 667 32
1507 1500 4
1295 271 9
850 957 76
1510 1382 4
598 573 13
1543 254 32
1130 1186 51
1016 990 39
1059 968 80
1563 815 76
650 407 38
1479 733 57
365 1294 56
25 216 9
957 870 80
1186 454 57
1049 168 23
1006 614 72
305 1214 65
669 80 6
655 1384 15
69 329 40
305 93 80
180 584 11
20 661 64
274 1283 9
1480 364 32
873 1325 40
678 1538 51
1133 668 15
784 28 18
989 1213 59
1072 741 19
1387 1467 29
431 731 8
585 1210 40
810 1401 68
280 334 60
392 1195 32
524 421 65
414 239 47
820 1454 5
1 448 75
1357 500 19
1505 1150 10
487 639 14
796 1224 42
683 1214 81
1207 1419 52
1309 1516 28
266 1025 45
686 588 47
433 47 6
610 668 77
817 531 49
289 1456 47
1126 150 46
409 1067 54
537 346 33
1000 1077 25
430 320 45
966 849 62
1123 1297 50
292 204 54
780 57 28
617 71 8
752 856 5
308 346 69
512 655 52
1228 839 46
1239 333 58
395 429 2
81 624 36
1372 747 19
1223 679 41
1535 416 13
1144 258 66
1000 403 41
923 197 23
283 72 67
1297 123 6
228 612 5
1292 893 6
1221 1556 36
1291 996 29
461 1339 64
64 632 32
781 310 30
1143 815 78
1039 129 9
1495 492 20
479 115 67
1469 694 19
1132 1022 12
1034 817 44
1036 1151 19
1016 774 77
1389 1567 75
277 694 32
137 1159 15
1181 369 59
266 1530 43
301 300 67
1390 159 40
1235 435 73
443 345 13
1075 618 41
225 1316 39
36 108 61
810 741 18
715 774 31
1317 1105 16
36 395 24
336 1204 42
1145 583 74
1034 44 52
1046 983 9
834 469 77
717 1356 31
1149 1548 46
414 553 53
23 360 16
425 779 77
116 366 4
210 1460 4
1145 448 63
30 923 62
112 943 8
1258 944 18
886 589 22
332 724 64
1486 929 12
695 1006 68
1307 163 62
1295 1010 19
1540 68 13
1226 1206 81
701 1247 12
1339 866 45
1566 525 3
1310 585 63
124 1250 36
89 238 33
853 398 3
691 1196 33
1515 1205 52
791 1322 39
564 174 22
915 1335 73
116 1001 2
59 473 11
1277 273 58
1283 308 38
1071 322 11
1 1368 25
291 247 75
1288 1222 52
908 639 30
1313 133 15
1469 385 1
436 126 19
895 559 16
1181 1138 40
698 48 67
1043 20 15
1035 923 27
1035 562 19
1511 516 7
513 133 5
757 1186 25
260 1149 28
55 399 45
1107 902 19
1117 1300 55
259 543 79
1558 221 30
986 1240 19
827 446 12
1334 1335 10
1320 1149 71
1295 195 30
518 297 46
59 1488 76
332 1446 27
1216 1054 45
40 660 69
1212 1205 56
1327 806 57
402 142 31
1322 373 30
1459 1296 79
1007 875 27
1033 1096 57
1057 671 61
22 1214 30
634 781 40
1492 1461 78
521 1282 60
1409 827 10
393 799 45
134 622 72
1083 1188 24
1494 867 44
539 1329 17
1175 450 41
452 175 25
1437 419 54
1125 376 72
1191 1219 26
695 1570 44
489 271 76
1485 1023 50
757 422 60
1546 365 46
991 1140 56
679 112 30
982 870 70
780 1372 30
131 319 7
960 572 12
612 615 74
1322 737 57
890 942 23
890 1207 47
1457 1024 38
806 1556 49
378 1488 36
118 304 67
1071 1327 13
218 375 16
1576 112 43
1019 1015 41
1411 891 5
781 1175 33
894 882 41
70 1046 60
623 343 80
1109 1047 82
515 449 69
353 534 51
419 1379 79
833 1277 3
1040 1166 42
44 1137 57
404 622 67
288 1412 27
114 1393 34
1002 693 43
1209 576 68
812 1211 18
1396 711 48
960 1322 69
779 866 40
1423 643 70
549 1511 6
1078 73 50
455 720 61
1096 686 67
933 970 34
